rq,analysis_label,language,n_total,n_valid,n_non_executable,median,iqr_q1,iqr_q3,threshold,n_above_threshold,n_below_threshold,n_ties_at_threshold,raw_stat,raw_p_value,adjusted_p_value,worstcase_p_value,effect_estimate,ci_low,ci_high,decision,notes
RQ1,RQ1_JAVA_branch_coverage_vs_75pct,java,25,24,1,95.4545,89.6154,100.0,75.0,23,1,0,sign_test k=23/24,1.49e-06,2.98e-06,9.72e-06,NA,NA,NA,reject_H0,Exact right-tailed sign test; threshold=75.0%; ties excluded; worst-case counts 1 non-executable as 0%.
RQ1,RQ1_PYTHON_branch_coverage_vs_75pct,python,25,22,3,100.0,87.8475,100.0,75.0,19,3,0,sign_test k=19/22,0.00042772,0.00042772,0.00731665,NA,NA,NA,reject_H0,Exact right-tailed sign test; threshold=75.0%; ties excluded; worst-case counts 3 non-executable as 0%.
RQ2,RQ2_GPT_VS_RANDOOP_MUTATION_JAVA,java,25,24,1,86.60714285714286,NA,NA,NA,19,0,5,Wilcoxon_W=190.0,6.581352259461346e-05,6.581352259461346e-05,NA,62.1429,31.578947368421048,84.61538461538461,reject_H0,"Paired one-sided Wilcoxon H1: GPT mutation > Randoop mutation; single primary test, no Holm needed; sign-test sensitivity: pos=19, neg=0, ties=5, sign_p=1.90735e-06."
RQ3,RQ3_JAVA_CC_vs_branch_coverage,java,25,24,NA,NA,NA,NA,NA,NA,NA,NA,Spearman_rho=-0.5167,0.0048651,0.0145953,NA,-0.5167,NA,NA,reject_H0,"One-sided Spearman, H1: rho<0; Holm correction applied across 3 testable RQ3 pairs."
RQ3,RQ3_JAVA_CC_vs_mutation_score,java,25,24,NA,NA,NA,NA,NA,NA,NA,NA,Spearman_rho=0.1094,0.69461011,0.69461011,NA,0.1094,NA,NA,fail_to_reject_H0,"One-sided Spearman, H1: rho<0; Holm correction applied across 3 testable RQ3 pairs."
RQ3,RQ3_PYTHON_CC_vs_branch_coverage,python,25,22,NA,NA,NA,NA,NA,NA,NA,NA,Spearman_rho=-0.5120,0.00742423,0.01484846,NA,-0.512,NA,NA,reject_H0,"One-sided Spearman, H1: rho<0; Holm correction applied across 3 testable RQ3 pairs."
RQ3,RQ3_PYTHON_CC_vs_mutation_score,python,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NOT_TESTABLE,NA,EXCLUDED_FROM_HOLM,NA,NA,NA,NA,NOT_TESTABLE,Insufficient numeric pairs (n=0); python mutation_score not available (likely all NA from pytest-mutagen).
